Datetime,Hourly Global Radiation (KJ/m2),Hourly Maximum Gust (kn),Hourly Mean Wind Direction (o),Hourly Mean Windspeed (kn),Hourly Pressure at Mean Sea Level (hPa),Hourly Rainfall Total (mm),Hourly Relative Humidity (%),Hourly Snow Depth (cm),Hourly Temperature (C),"Hourly Total Cloud Cover (oktas)
",Hourly Visibility (dm)
2013-01-09 08:00:00,0.0,11.6,210.0,6.3999999999999995,1021.5,0.0,96.18571428571428,0.0,8.114285714285714,8.0,573.3333333333334
2013-01-09 09:00:00,10.0,12.0,144.0,6.0,1021.875,0.0,95.55714285714285,0.0,7.857142857142857,8.0,753.3333333333334
2013-01-09 10:00:00,52.666666666666664,12.0,218.0,6.2,1022.275,0.0,93.7,0.0,7.557142857142857,7.666666666666667,1166.6666666666667
2013-01-09 11:00:00,192.0,9.799999999999999,82.0,5.2,1022.3249999999999,0.0,90.08571428571429,0.0,7.5857142857142845,7.666666666666667,1746.6666666666667
2013-01-09 12:00:00,329.3333333333333,8.6,152.0,4.2,1021.85,0.0,85.5,0.0,7.7,6.0,2300.0
2013-01-09 13:00:00,552.6666666666666,7.6000000000000005,148.0,4.2,1021.025,0.0,80.65714285714286,0.0,8.27142857142857,4.0,2166.6666666666665
2013-01-09 14:00:00,750.6666666666666,8.6,150.0,4.4,1020.675,0.0,75.32857142857142,0.0,8.285714285714286,0.6666666666666666,2900.0
2013-01-09 15:00:00,407.0,8.0,154.0,4.0,1020.6999999999999,0.0,75.31428571428572,0.0,7.742857142857143,3.6666666666666665,2766.6666666666665
2013-01-09 16:00:00,180.66666666666666,6.8,162.0,3.4,1020.8249999999999,0.0,77.78571428571429,0.0,6.857142857142857,1.6666666666666667,2900.0
2013-01-09 17:00:00,2.6666666666666665,5.6000000000000005,90.0,3.1999999999999997,1020.9499999999999,0.0,83.77142857142857,0.0,5.528571428571429,0.3333333333333333,2400.0
2013-01-09 18:00:00,0.0,4.8,164.0,2.4,1020.9,0.0,89.0,0.0,4.014285714285714,0.0,1900.0
2013-01-09 19:00:00,0.0,4.4,102.0,2.2,1021.025,0.0,91.68571428571428,0.0,3.3285714285714287,0.0,2000.0
2013-01-09 20:00:00,0.0,3.0,220.0,1.8,1020.6999999999999,0.0,95.25714285714285,0.0,2.085714285714286,0.3333333333333333,1433.3333333333333
2013-01-09 21:00:00,0.0,3.1999999999999997,256.0,2.2,1020.4499999999999,0.0,96.5,0.0,1.457142857142857,0.0,770.0
